City ID,City Name,Country,Date,Humidity,Latitude,Longitude,Max Temp,Cloudiness,Wind Speed
3985710,Cabo San Lucas,MX,1572044386,45,22.89,-109.91,86.0,5,9.17
5563839,Fortuna,US,1572044387,59,40.6,-124.16,79.0,1,13.87
986717,Kruisfontein,ZA,1572044389,97,-34.0,24.73,55.47,35,0.63
2071860,Esperance,AU,1572044391,100,-33.86,121.89,53.6,90,3.36
4578737,Florence,US,1572044340,73,34.2,-79.77,75.2,75,3.36
5983720,Iqaluit,CA,1572044394,100,63.75,-68.52,33.8,90,4.7
3653967,Muisne,EC,1572044396,88,0.61,-80.02,78.8,75,11.41
3520994,Puerto Escondido,MX,1572044397,74,15.86,-97.07,82.4,75,10.29
5972291,Havre-Saint-Pierre,CA,1572044399,86,50.23,-63.6,39.2,1,6.93
4920577,Galveston,US,1572044405,61,40.58,-86.19,54.0,1,3.36
262462,Saint George,GR,1572044407,76,39.45,22.34,55.4,0,0.51
4281730,Wichita,US,1572043634,30,37.69,-97.34,55.99,1,9.17
1168700,Ormara,PK,1572044419,55,25.21,64.64,84.79,0,6.29
2030065,Mandalgovi,MN,1572044420,32,45.76,106.27,31.44,42,12.41
5098745,Hackettstown,US,1572044422,59,40.85,-74.83,64.4,1,2.89
5851349,Nanakuli,US,1572044416,69,21.39,-158.15,84.2,75,10.29
3372760,Praia da Vitoria,PT,1572044426,72,38.73,-27.07,68.0,40,10.76
3832899,Viedma,AR,1572044428,67,-40.81,-62.99,59.79,46,12.33
3466165,Cidreira,BR,1572044429,70,-30.17,-50.22,67.37,0,8.05
1273294,Dwarka,IN,1572044431,72,28.58,77.04,68.0,0,5.23
3421319,Nuuk,GL,1572044433,64,64.17,-51.74,35.6,80,2.24
2655288,Boddam,GB,1572044434,86,57.47,-1.78,37.4,28,8.05
3035114,Banos,FR,1572044436,93,43.74,-0.62,57.99,65,4.7
3893629,Coquimbo,CL,1572044437,82,-29.95,-71.34,57.2,40,11.41
6322184,Porto Novo,BR,1572044439,73,-23.68,-45.44,71.6,40,9.17
4036284,Alofi,NU,1572044441,78,-19.06,-169.92,78.8,75,11.41
1512019,Aksarka,RU,1572044442,85,66.56,67.8,16.14,0,12.5
2428042,Lere,TD,1572044444,90,9.66,14.23,73.98,80,0.96
5965546,Gravenhurst,CA,1572044353,70,44.92,-79.37,48.99,90,6.93
5354943,Half Moon Bay,US,1572044447,13,37.46,-122.43,91.4,1,13.87
3453439,Ponta do Sol,BR,1572044449,84,-20.63,-46.0,69.28,38,2.21
57000,Hobyo,SO,1572044450,80,5.35,48.53,79.65,1,9.46
3838233,Salta,AR,1572044211,34,-24.79,-65.41,84.2,40,10.29
3833062,Venado Tuerto,AR,1572044454,74,-33.75,-61.97,72.0,51,9.15
3424607,Tasiilaq,GL,1572044455,67,65.61,-37.64,23.0,9,6.93
2154386,Olinda,AU,1572044457,44,-37.84,145.39,57.2,40,27.51
4599214,Union,US,1572044459,82,34.72,-81.62,71.6,90,5.64
